,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Box_office
0, ,,131.0,Drama,6.0,55.0,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia,Average
1,#Gadhvi (He thought he was Gandhi),2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,Hit
2,#Homecoming,2021.0,90.0,"Drama, Musical",6.0,55.0,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,Average
3,#Yaaram,2019.0,110.0,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,Average
4,...And Once Again,2010.0,105.0,Drama,6.0,55.0,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali,Average
5,...Aur Pyaar Ho Gaya,1997.0,147.0,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Average
6,...Yahaan,2005.0,142.0,"Drama, Romance, War",7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,Hit
7,.in for Motion,2008.0,59.0,Documentary,6.0,55.0,Anirban Datta,Unknown,Unknown,Unknown,Average
8,?: A Question Mark,2012.0,82.0,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,Average
9,@Andheri,2014.0,116.0,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,Hit
10,1:1.6 An Ode to Lost Love,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,Average
11,1:13:7 Ek Tera Saath,2016.0,120.0,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Average
12,100 Days,1991.0,161.0,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,Average
13,100% Love,2012.0,166.0,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,Average
14,101 Ratein,1990.0,131.0,Thriller,6.0,55.0,Harish,Saraswati,Disco Shanti,Unknown,Average
15,102 Not Out,2018.0,102.0,"Comedy, Drama",7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,Hit
16,108 Limited,,131.0,Unknown,6.0,55.0,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam,Average
17,108 Teerthyatra,1987.0,131.0,"Comedy, Drama, Fantasy",6.0,55.0,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu,Average
18,10ml LOVE,2010.0,87.0,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,Average
19,11 O'Clock,1948.0,131.0,Unknown,6.0,55.0,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi,Average
20,12 Bulbule,2021.0,131.0,"Comedy, Drama, Family",6.0,55.0,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit,Average
21,12 O'Clock,1958.0,132.0,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,Hit
22,12 O'Clock,2021.0,105.0,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,Average
23,12 Years,,131.0,Biography,6.0,55.0,Sohail Tatari,Unknown,Unknown,Unknown,Average
24,124a,2021.0,131.0,Documentary,6.0,55.0,Varrun Sukhraj,Unknown,Unknown,Unknown,Average
25,127 B,2017.0,116.0,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,Average
26,13 May Gulaabi Nagar,2010.0,131.0,Action,6.0,55.0,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma,Average
27,13 Tribute of Love,2020.0,66.0,Drama,6.0,55.0,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt,Average
28,13B: Fear Has a New Address,2009.0,146.0,"Drama, Horror, Mystery",7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,Hit
29,14 Phere,2021.0,131.0,Comedy,6.0,55.0,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan,Average
30,15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,Hit
31,150 Seconds Ago,2002.0,112.0,Unknown,6.0,55.0,Batul Mukhtiar,Unknown,Unknown,Unknown,Average
32,15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,Average
33,16-Dec,2002.0,158.0,"Action, Thriller",6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,Average
34,18.11,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,Below_average
35,1857,1946.0,131.0,"Drama, History",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi,Average
36,19 Revolutions,2004.0,94.0,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,Average
37,1911,,131.0,"Drama, History, Sport",6.0,55.0,Nikkhil Advani,John Abraham,Unknown,Unknown,Average
38,1920,2008.0,138.0,"Horror, Mystery, Romance",6.4,3100.0,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,Average
39,1920 London,2016.0,120.0,"Horror, Mystery",4.1,1559.0,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,Average
40,1920: Evil Returns,2012.0,124.0,"Drama, Horror, Romance",4.8,1811.0,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,Average
41,1921,2018.0,144.0,"Horror, Mystery, Romance",4.5,1069.0,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,Average
42,1942: A Love Story,1994.0,157.0,"Action, Drama, History",7.2,3223.0,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,Hit
43,1971,2007.0,136.0,"Action, Drama, War",8.1,1892.0,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,Hit
44,1978: A Teen Night Out,2019.0,107.0,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,Hit
45,1982 - A Love Marriage,2017.0,113.0,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,Average
46,19th January,2014.0,131.0,Drama,7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,Hit
47,2 Band Radio,2019.0,131.0,Comedy,6.0,55.0,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi,Average
48,2 GB Ki Life,,131.0,Drama,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
49,2 Little Indians,2013.0,131.0,"Comedy, Family",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra,Average
50,2 Nights in Soul Valley,2012.0,80.0,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,Average
51,02-Oct,2003.0,122.0,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,Average
52,2 Piece,2005.0,131.0,Drama,6.0,55.0,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath,Average
53,2 States,2014.0,149.0,"Comedy, Drama, Romance",6.9,24034.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Average
54,2,2018.0,148.0,"Action, Sci-Fi",6.2,21938.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,Average
55,2001: Do Hazaar Ek,1998.0,149.0,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,Below_average
56,2006 Varanasi: The Untold,2018.0,131.0,Drama,6.0,55.0,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan,Average
57,2007 the last encounter,2018.0,131.0,Drama,6.0,55.0,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami,Average
58,2016 the End,2017.0,130.0,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,Average
59,21: Battle of Saragarhi,,131.0,War,6.0,55.0,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan,Average
60,22 Days,2018.0,124.0,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,Average
