,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
0, ,,131.0,Drama,6.0,55.0,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
1,#Gadhvi (He thought he was Gandhi),2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
2,#Homecoming,2021.0,90.0,"Drama, Musical",6.0,55.0,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
3,#Yaaram,2019.0,110.0,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
4,...And Once Again,2010.0,105.0,Drama,6.0,55.0,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
5,...Aur Pyaar Ho Gaya,1997.0,147.0,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
6,...Yahaan,2005.0,142.0,"Drama, Romance, War",7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
7,.in for Motion,2008.0,59.0,Documentary,6.0,55.0,Anirban Datta,,,
8,?: A Question Mark,2012.0,82.0,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
9,@Andheri,2014.0,116.0,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
10,1:1.6 An Ode to Lost Love,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
11,1:13:7 Ek Tera Saath,2016.0,120.0,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
12,100 Days,1991.0,161.0,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
13,100% Love,2012.0,166.0,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
14,101 Ratein,1990.0,131.0,Thriller,6.0,55.0,Harish,Saraswati,Disco Shanti,
15,102 Not Out,2018.0,102.0,"Comedy, Drama",7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
16,108 Limited,,131.0,,6.0,55.0,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
17,108 Teerthyatra,1987.0,131.0,"Comedy, Drama, Fantasy",6.0,55.0,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
18,10ml LOVE,2010.0,87.0,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
19,11 O'Clock,1948.0,131.0,,6.0,55.0,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
20,12 Bulbule,2021.0,131.0,"Comedy, Drama, Family",6.0,55.0,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
21,12 O'Clock,1958.0,132.0,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
22,12 O'Clock,2021.0,105.0,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
23,12 Years,,131.0,Biography,6.0,55.0,Sohail Tatari,,,
24,124a,2021.0,131.0,Documentary,6.0,55.0,Varrun Sukhraj,,,
25,127 B,2017.0,116.0,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
26,13 May Gulaabi Nagar,2010.0,131.0,Action,6.0,55.0,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
27,13 Tribute of Love,2020.0,66.0,Drama,6.0,55.0,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
28,13B: Fear Has a New Address,2009.0,146.0,"Drama, Horror, Mystery",7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
29,14 Phere,2021.0,131.0,Comedy,6.0,55.0,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
30,15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
31,150 Seconds Ago,2002.0,112.0,,6.0,55.0,Batul Mukhtiar,,,
32,15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
33,16-Dec,2002.0,158.0,"Action, Thriller",6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
34,18.11,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
